title,paragraphs
Explain different types of thread priorities ?,"Every thread in java has priorities in between 1 to 10. By default priority is 5
(Thread.NORM_PRIORITY). The maximum priority would be 10 and minimum would be 1.Thread class
defines the following constants(static final variables) to define properties.
Thread. MIN_PRIORITY = 1;
Thread.NORM_PRIORITY=5;
Thread. MAX_PRIORITY=10;"
How to change the priority of thread or how to set priority of thread?,"Thread class has a set method to set the priority of thread and get method to get the priority of the
thread.
Signature : final void setPriority(int value);
The setPriority() method is a request to jvm to set the priority. JVM may or may not oblige the request.
We can get the priority of current thread by using getPriority() method of Thread class.
final int getPriority()
{
}"
If two threads have same priority which thread will be executed first ?,"We are not guaranteed which thread will be executed first when there are threads with equal priorities in
the pool. It depends on thread scheduler to which thread to execute. The scheduler can do any of the
following things :
1) It can pick any thread from the pool and run it till it completes.
2) It can give equal opportunity for all the threads by time slicing."
What all methods are used to prevent thread execution ?,"There are three methods in Thread class which prevents execution of thread.
1) yield()
2) join()
3) sleep()"
Explain yield() method in thread class ?,"Yield() method makes the current running thread to move in to runnable state from running state giving
chance to remaining threads of equal priority which are in waiting state. yield() makes current thread to
sleep for a specified amount of time.There is no guarantee that moving a current running thread from
runnable to running state. It all depends on thread scheduler it doesn’t gurantee anything.
27
Calling yield() method on thread does not have any affect if object has a lock. The thread does’nt lose
any lock if it has acquired a lock earlier.
Signature :
public static native void yield()
{
}"
Explain the importance of join() method in thread class?,"A thread can invoke the join() method on other thread to wait for other thread to complete its
execution. Assume we have two threads, t1 and t2 threads . A running thread t1 invokes join() on
thread t2 then t1 thread will wait in to waiting state until t2 completes. Once t2 completes the execution,
t1 will continue.
join() method throws Interrupted Exception so when ever we use join() method we should handle
Interrrupted Exception by throws or by using try catch block.
Signature :
public final void join() throws InterruptedException
{
}
public final synchronized void join(long millis)
throws InterruptedException
{
}
public final synchronized void join(long millis, int nanos)
throws InterruptedException
{
}"
Explain purpose of sleep() method in java?,"the minimum amount of the time the current thread sleeps but not the exact amount of time.
Signature :
public static native void sleep(long millis) throws InterruptedException
{
}
public static void sleep(long millis, int nanos)
throws InterruptedException {
}"
Explain about interthread communication and how it takes place in java?,"Usually threads are created to perform different unrelated tasks but there may be situations where they
may perform related tasks. Interthread communication in java is done with the help of following three
methods :
1) wait()
2) notify()
3) notifyAll()"
What are thread groups?,"Thread Groups are group of threads and other thread groups. It is a way of grouping threads so that
actions can be performed on set of threads for easy maintenance and security purposes.
For example we can start and stop all thread groups. We rarely use thread group class. By default all the
threads that are created belong to default thread group of the main thread. Every thread belongs to a
thread group. Threads that belong to a particular thread group cannot modify threads belonging to
another thread group."
What are daemon threads in java?,"Daemon threads are threads which run in background. These are service threads and works for the
benefit of other threads. Garbage collector is one of the good example for daemon threads.
By default all threads are non daemon. Daemon nature of a thread can be inherited. If parent thread is
daemon , child thread also inherits daemon nature of thread."
How to make a non daemon thread as daemon?,"By default all threads are non daemon. We can make non daemon nature of thread to daemon by using
setDaemon() method. The important point to note here we can call setDaemon() only before start()
method is called on it. If we call setDaemon() after start() method an IllegalThreadStateException will be
thrown."
Can we make main() thread as daemon?,Main thread is always non daemon. We cannot change the non daemon nature of main thread to daemon.
What are nested classes in java?,"Class declared with in another class is defined as nested class. There are two types of nested classes in java.
1)	Static nested class
2)	Non static nested class
A static nested class has static keyword declared before class definition.
"
 What are inner classes or non static nested classes in java?,"Nested classes without any static keyword declaration in class definition are defined as non static nested classes. Generally non static nested classes are referred as inner classes.
There are three types of inner classes in java :
1)	Local inner class
2)	Member inner class
3)	Anonymous inner class
"
Why to use nested classes in java? ,"1)        Grouping of related classes
Classes which are not reusable can be defined as inner class instead of creating inner class.
For example : We have a submit button upon click of submit button we need to execute some code. This code is related only to that class and cannot be reused for other class . Instead of creating a new class we can create inner class
2)        To increase encapsulation :
Inner class can access private members of outer class.so by creating getter and setter methods for private variables , outside world can access these variables. But by creating inner class private variables can be accesed only by inner class.
3)        Code readable and maintainable :
Rather than creating a new class we can create inner class so that it is easy to maintain.
 
4)        Hiding implementation :
Inner class helps us to hide implementation of class.
"
What is the purpose of nested class in java?,
Explain about static nested classes in java?,"When a static class is defined inside a enclosing class we define that as nested class. Static nested classes are not inner classes. Static nested classes can be instantiated without instance of outer class.
A static nested doesnot have access to instance variables and non static methods of outer class.
"
How to instantiate static nested classes in java?,"We can access static members and static methods of outer class without creating any instance of outer class.
Syntax for instantiating Static nested class :
OuterclassName.StaticNestedClassName ref=new OuterclassName.StaticNestedClassName();
"
Explain about features of local inner class?,"1)	Local inner class does not have any access specifier.
2)	We cannot use access modifiers static for local inner class. But we can use abstract and final for local inner class.
3)	We cannot declare static members inside local inner classes.
4)	We can create objects of local inner class only inside method where class is defined.
5)	Method local inner classes can only access final variables declared inside a method.
6)	Method local inner classes can be defined inside loops(for,while) and blocks such as if etc.
"
Explain about anonymous inner classes in java?,"Inner class defined without any class name is called anonymous inner class. Inner class is declared and instantiated using new keyword.The main purpose of anonymous inner classes in java are to provide interface implementation. We use anonymous classes when we need only one instance for a class. We can use all members of enclosing class and final local variables.
When we compile anonymous inner classes compiler creates two files
1)	EnclosingName.class
2)	EnclsoingName$1.class
"
restrictions for using anonymous inner classes?,"1)	An anonymous inner class cannot have any constructor because there is no name for class.
2)	An anonymous inner class cannot define static methods, fields or classes.
3)	We cannot define an interface anonymously.
4)	Anonymous inner class can be instantiated only once.
"
Explain about member inner classes?,"Non static class defined with in enclosing class are called member inner class. A member inner class is defined at member level of class. A member inner class can access the members of outer class including private members.
Features of member inner classes :
1)	A member inner class can be declared abstract or final.
2)	A member inner class can extend class or implement interface.
3)	An inner class cannot declare static fields or methods.
4)	A member inner class can be declared with public, private, protected or default access.
"
How to instantiate member inner class?,OuterClassName.InnerclassName inner=new OuterClassReference.new InnerClassName(); We cannot instantiate inner class without outer class reference
How to do encapsulation in Java?,"Make instance variables private.
Define getter and setter methods to access instance variables 
"
What are reference variables in java?,"Variables which are used to access objects in java are called reference variables. Ex : Employee emp=new Employee();
In the above example emp is reference variable. Reference variable can be of only one type.
A reference variable can point to any number of objects. But if a reference variable is declared final it can’t point to other objects.
A reference variable can be declared either to a class type or interface type. If a reference variable is declared with interface type it points to the class that implements the interface.
"
Can we have a method name same as class name in java?,Yes we can have method name same as class name it won’t throw any compilation error but it shows a warning message that method name is same as class name.
 Can we override constructors in java?,Only methods can be overridden in java. Constructors can’t be inherited in java. So there is no point of verriding constructors in java.
How do we access static members in java?,Instance variables and instance methods can be accessed using reference variable . But to access static variables or static methods we use Class name in java.
Can we override static methods in java?,Static methods can’t be overridden. If we have a static method in superclass and subclass with same signature then we don’t say that as overriding. We call that as
Difference between object and reference?,"Reference and object are both different. Objects are instances of class that resides in heap memory. Objects does’nt have any name so to access objects we use references. There is no alternative way to access objects except through references.
 
Object cannot be assigned to other object and object cannot be passed as an argument to a method. Reference is a variable which is used to access contents of an object. A reference can be assigned to other reference ,passed to a method.
"
Objects or references which of them gets garbage collected?,Objects get garbage collected not its references.
How many times finalize method will be invoked ? who invokes finalize() method in java? ,Finalize () method will be called only once on object. Before the object gets garbage collected garbage collector will call finalize() method to free the resources. Finalize() method will be called only when object is eligible for garbage collection.
Can we able to pass objects as an arguments in java?,Only references can be passed to a method not an object. We cannot pass the objects to a method. The largest amount of data that can passed as parameters are long or double.
Explain wrapper classes in java?,"Converting primitives to objects can be done with the help of wrapper classes. Prior to java 1.5 we use Wrapper classes to convert primitives to objects. From java 1.5 we have a new feature autoboxing which is used to convert automatically primitives to objects but in wrapper classes programmer has to take care of converting primitives to objects.
Wrapper classes are immutable in java. Once a value is assigned to it we cannot change the value.
"
Explain about transient variables in java?,"To save the state of an object to persistent state we use serialization. If we want a field or variable in the object not to be saved, then we declare that variable or field as transient.
Example : public Class Car implements serializable
{
transient int carnumber;
}
"
Can we serialize static variables in java?,Static variables cannot be serialized in java.
What is type conversion in java?,"Assigning a value of one type to variable of other type is called type conversion. Example : int a =10;
long b=a;
There are two types of conversion in java:
1)	Widening conversion
2)	Narrowing conversion
"
Explain about Automatic type conversion in java?,"Java automatic type conversion is done if the following conditions are met :
1) When two types are compatible Ex : int, float
int can be assigned directly to float variable.
2) Destination type is larger than source type. Ex : int, long

Int can be assigned directly to long .Automatic type conversion takes place if int is assigned to long because long is larger datatype than int.
Widening Conversion comes under Automatic type conversion."
Explain about narrowing conversion in java?,"When destination type is smaller than source type we use narrowing conversion mechanism in java. Narrowing conversion has to be done manually if destination type is smaller than source type. To do narrowing conversion we use cast. Cast is nothing but explicit type conversion.
Example : long a; byte b; b=(byte)a;
Note : casting to be done only on valid types otherwise classcastexception will be thrown."
Explain the importance of import keyword in java?,"Import keyword is used to import single class or package in to our source file.import statement is declared after package decalaration. We use wild character (*) to import package.
Note : After compilation the compiled code does not contain import statement it will be replaced with fully qualified class names"
 What is jar ?,"Jar stands for java archive file. Jars are created by using Jar.exe tool. Jar files contains .class files, other resources used in our application and manifest file.Manifest file contains class name with main method.jar contains compressed .class files. Jvm finds these .class files without uncompressing this jar."
What is the scope or life time of instance variables ?,When object is instantiated using new operator variables get allocated in the memory.instance variables remain in memory till the instance gets garbage collected
Explain the scope or life time of class variables or static variables?,Static variables do not belong to instances of the class. We can access static fields even before instantiating the class. Static variable remain in memory till the life time of application.
Explain scope or life time of local variables in java?,Local variables are variables which are defined inside a method. When the method is created local variables gets created in stack memory and this variable gets deleted from memory once the method execution is done.
 Explain about static imports in java?,"From Java 5.0 we can import static variables in to source file. Importing static member to source file is referred as static import. The advantage of static import is we can access static variables without class or interface name.
Syntax : import static packagename.classname.staticvariablename; Ex : import static com.abc.Employee.eno;
To import all static variables from a class in to our source file we use *. import static com.abc.Employee.*"
 Can we define static methods inside interface?,"We can’t declare static methods inside interface. Only instance methods are permitted in interfaces.only public and abstract modifiers are permitted for interface methods. If we try to declare static methods inside interface we get compilation error saying
“Illegal modifier for the interface method Classname.methodName(); only public & abstract are permitted”."
,We can’t declare static methods inside interface. Only instance methods are permitted in interfaces.only public and abstract modifiers are permitted for interface methods. If we try to declare static methods inside interface we get compilation error saying
,“Illegal modifier for the interface method Classname.methodName(); only public & abstract are permitted”.
Define interface in java?,Interface is collection of abstract methods and constants. An interface is also defined as pure or 100 percent abstract class.Interfaces are implicitly abstract whether we define abstract access modifier or not. A class implementing interface overrides all the abstract methods defined in interface. Implements keyword is used to implement interface.
What is the purpose of interface?,Interface is a contract . Interface acts like a communication between two objects. When we are defining interface we are defining a contract what our class should do but not how it does. An interface does’nt define what a method does. The power of interface lies when different classes that are unrelated can implement interface. Interfaces are designed to support dynamic method resolution at run time.
Explain features of interfaces in java?,"1) All the methods defined in interfaces are implicitly abstract even though abstract modifier is not declared.
2) All the methods in interface are public whether they are declared as public or not.
3) variables declared inside interface are by default public, static and final.
4) Interfaces cannot be instantiated.
5) we cannot declare static methods inside interface.
6) ‘ implements’ keyword is used to implement interface.
7) Unlike class, interface can extend any number of interfaces.
8) We can define a class inside interface and the class acts like inner class to interface.
9) An interface can extend a class and implement an interface
10) Multiple inheritance in java is achieved through interfaces."
Explain enumeration in java?,"Enumeration is a new feature from Java 5.0. Enumeration is set of named constants . We use enum keyword to declare enumeration. The values defined in enumeration are enum constants.Each enum constant declared inside a enum class is by default public , static and final.
Example :
package javaexamples;
public enum Days {
SUN,MON,TUE,WED,THU,FRI,SAT;
}
SUN,MON,TUE,WED,THU,FRI,SAT are enum constants."
Explain restrictions on using enum?,"1) Enums cannot extend any other class or enum.
2) We cannot instantiate an enum.
3) We can declare fields and methods in enum class. But these fields and methods should follow the enum constants otherwise we get compilation error.
184) Explain about field hiding in java?
If superclass and subclass have same fields subclass cannot override superclass fields. In this case subclass fields hides the super class fields. If we want to use super class variables in subclass we use super keyword to access super class variables."
Explain about Varargs in java?,"Beginning with Java 5 has a new feature Varargs which allows methods to have variable number of arguments. It simplifies creation of methods when there are more number of arguments. Earlier to java 5 Varargs are handled by creating method with array of arguments.
Ex : public static void main(String[] args)
A variable length argument is specified using ellispses with type in signature. main method with var args is written as follows:
public static void main(String … args)
If no arguments are passes we get array with size 0.There is no need for null check if no arguments are passed."
Explain where variables are created in memory?,When we declare variables variables are created in stack. So when the variable is out of scope those variables get garbage collected.
Can we use Switch statement with Strings?,Prior to Java 7 we can use only int values and enum constants in Switch .Starting with Java 7 we can use strings in Switch statement. If we use strings in switch statement prior to Java 7 we will get compile time error “only int and enum constants are permitted”.
In java how do we copy objects?,"In Java we cannot copy two objects but by assigning one reference to other we can copy objects. For example if we have a reference r1 that point to object .so when we declare r2=r1, we are assigning reference r1 to r2 so now r2 points to the same object where r1 points. Any changes done by one reference on an object will reflect to other.
Oops concepts interview questions"
Explain about procedural programming language or structured programming language and its features?,"In traditional programming language to solve a problem we use set of procedures. Once the procedures or functions are determined next they concentrate on storing data.
Features :
1) In this top down approach is followed. First procedures were determined and then concentrate on minute details.
2) Concentrate more on functions and procedure rather than data.
3) In traditional programming language procedures manipulate global data without knowing to other procedures.
4) Very little concentration on minute details
The main drawback of traditional programming languages works well only for small problems. But not suitable for larger problems.
Ex : C language, Pascal"
Explain about object oriented programming and its features?,"Java replaced traditional programming language developed in 1970’s. In Object oriented programming everything is made up of object. In this language bottom up approach is followed. Each
object communicates with other as opposed to traditional view. Features :
1) In this bottom approach is followed. First concentrates on minute details like creating objects then concentrates on implementation or solving the problem.
2) Concentrate more on data and give less importance for implementation.
3) Objects communicate with each other
The main advantage of object oriented programming language is works well for larger problems."
 List out benefits of object oriented programming language?,"1) Easy maintenance
2) Code reusability
3) Code extendability
4) Reliable"
 Differences between traditional programming language and object oriented programming language?,"Traditional Programming language
Object Oriented Programming Language
A program is divided in to modules and procedures.
A program is divided in to number of objects.
Implementation is done through procedures.
Implementation is done through interfaces.
In traditional programming there is no encapsulation all procedures access data.
In oops encapsulation is done by tightly coupling data and behaviour together in class.
Suitable for small programs or problems
Suitable for large programs and complex problems."
Explain oops concepts in detail?,"Object oriented programming should support these three features :
1) Inheritance
2) Encapsulation

3) Polymorphism"
 Explain what is encapsulation?,"Encapsulation is the process of wrapping of code and behaviour in a single unit called class and preventing from misuse is called encapsulation. Encapsulation exposes only part of object which are safe to exposed and remaining part of object is kept secured.
Encapsulation is supported through access control in java. There are four types of access control specifiers(public,private, protected, default) in java which supports encapsulation.
For example tv manufacturers exposes only buttons not all the thousands of electronic components which it is made up of.
195) What is inheritance ?
Inheritance is one of the important feature of object oriented language. Inheriting is the process of acquiring features of others. For example a child acquires the features of their parents.
In java inheritance is the process of inheriting member of existing classes by extending their functionality. The original class is called base class, parent class or super class. The new class derived from parent is called child class, sub class, and derived class.
We use extends keyword in java to extend a class in java. All java classes extend java.lang.Object since object class is the super class for all classes in java.
When we create a new class by using inheritance ‘is-a’ relationship is formed."
 Explain importance of inheritance in java?,"Reusability :The major advantage of inheritance is code reuse. We can avoid duplicating code by using inheritance. We can place all common state and behaviour in that class , by extending that class we can Extendability : We can add new functionality to our application without touching the existing code.
For example if we take Ms word we came across number of versions of msword such as word 2003,2007. Everytime they won’t write new code they reuse the existing code and some more features."
What is polymorphism in java?,Polymorphism is combination of two greek words which mean many forms. In polymorphism actual type of object involved in method call determines which method to call rather type of reference variable.
 What is covariant return ?,"In java 1.4 and earlier one method can override super class method if both methods have same signature and return types.
From Java 1.5 , a method can override other method if argument types match exactly though return types are different.(Return type must be subtype of other method).
Example : Class A
{

A doSomeThing()
{
return new A();
}
}

Example : Class B
{

B doSomeThing()
{
return new B();
}
}
From java 1.5 return type for doSomeThing() in Class B is valid . We get compile time error in 1.4 and earlier.
Collection Framework interview questions"
What is collections framework ?,"A framework is set of classes and interfaces to build a functionality. Java collections framework provides set of interfaces and classes for storing and manipulating collections. Collection framework contains classes and interfaces in java.util package and java.util.concurrent packages.
Advantages or benefits of Collections framework :
1) High performance
2) Using this framework we can create different types of collections

3) We can create our own collection and we can extend a collection.
4) Reduces programming effort.
5) Increases speed and quality : Collections framework provides high performance, implementations of useful data structures and algorithms."
What is collection ?,"A collection is a container which holds group of objects. Collection provides a way to manage objects easily. Collections manages group of objects as single unit.
Examples include list of strings, integers etc.
Here are few basic operations we do on collections :
1) Adding objects to collection.
2) Removing or deleting objects from collection.
3) Retrieving object from collection.
4) Iterating collection."
"Difference between collection, Collection and Collections in java?","collection : represent group of objects where objects are stored.
Collection : This is one of the core interface which provides basic functionality for collection. Collections : Collections contains some utility static methods that operate on collections."
 Explain about Collection interface in java ?,"Collection is the fundamental and root interface in Collections framework. Collection extends Iterable interface and inherits iterator method which returns Iterator object.
Signature :
public interface Collection<E> extends Iterable<E> {
}

Methods in Collection interface :
boolean add(E e);
Adds an element to the collection. Returns true if element is added.
boolean remove(Object o);
Removes an object from collection if that object is present in collection. Return true if matching object is removed from collection.
boolean addAll(Collection<?
extends E> c);
Adds all the elements specified in the collection to this collection.Returns true if all elements are added.
boolean removeAll(Collection<?>
c);
Removes all the elements from this collection that are specified in other collection.Returns true if all the elements are removed.
int size();
Returns number of elements in collection.
boolean isEmpty();
Checks whether collection contains elements or not. If no elements are present it returns false.
boolean contains(Object o);
Checks whether specified object is in collection or not. Return true if object is in collection.
Iterator<E> iterator();
Used to iterator over collection. No guarantee on order of elements iterated.
boolean
retainAll(Collection<?> c);
Removes all the elements which are not in specified collection. Returns only elements specified in collection removing other elements.
Object[] toArray();
Returns an array of elements in collection."
,Collection is the fundamental and root interface in Collections framework. Collection extends Iterable interface and inherits iterator method which returns Iterator object.
,Signature :
,public interface Collection<E> extends Iterable<E> {
 List the interfaces which extends collection interface ?,"1) List
2) Set
3) Queue
4) Deque ( From Java 6)
203) Explain List interface ?
List interface extends collection interface used to store sequence of elements in collection. We can even store duplicate elements in list.
We can insert or access elements in list by using index as we do in arrays. List is an ordered collection.
The main difference between List and non list interface are methods based on position.

Some of the operations we can perform on List :
1) Adding an element at specified index.
2) Removing an element at specified index.
3) To get the index of element
List contains some specific methods apart from Collection interface methods."
 Explain methods specific to List interface ?,"boolean addAll(int index, Collection<? extends E> c);
This method inserts all the elements in specified collection to the list at specified position.
E get(int index);
This method returns an element at specified position in the list.
E set(int index, E element);
This method replaces the element at specified position in the list with the specified element.
void add(int index, E element);
This method inserts the specified element with the index specified.
E remove(int index);
This method removes the element at specified index and returns the element removed.
int indexOf(Object o);
indexOf() method returns the index of last occurrence of specified element. If there is no
element in the list it removes the element.
ListIterator<E> listIterator();
Returns a list iterator of elements in list.
List<E> subList(int fromIndex, int toIndex);
This method returns list of elements between indexes specified."
,"boolean addAll(int index, Collection<? extends E> c);"
 List implementations of List Interface ?,"1) ArrayList
2) Vector
3) LinkedList"
Explain about ArrayList ?,"ArrayList is an ordered collection which extends AbstractList and implements List interface. We use ArrayList mainly when we need faster access and fast iteration of elements in list. We can insert nulls in to arraylist.
Arraylist is nothing but a growable array."
 Difference between Array and ArrayList ?,"Arrays are used to store primitives or objects of same type or variables that are subclasses of same type. ArrayList : It is an ordered collection which grows dynamically.
In list we can insert nulls values and list allows duplicate elements.
ARRAY
ARRAY LIST
1)
1)
2) To put an element in to array we use the following syntax :String array[] = newString[5];array[1] = “java”;We must know
specific location to insert an element in to
2) We can add element to arraylist with following syntax :List<String> stringList = new ArrayList<String>();stringList.add(“java”);

array. If we try to put element in index which is out of range we get ArrayIndexOutOfBounds Exception

3) Arrays are static
3) ArrayList is dynamic
4) We can store objects and primitives
4) We can store only primitives prior to 1.5 . From
1.5 we can store even objects also.
5) We have to manually write logic for inserting and removing elements.
5) Just a method call would add or remove elements from list.
6) Arrays are faster
6) Arraylist is slower."
What is vector?,"Vector is similar to arraylist used for random access. Vector is a dynamic array like arraylist.
vector size increases or decreases when elements are added and removed . Vector is synchronized .
vector and Hashtable are the only collections since 1.0. Rest of the collections are added from 2.0.
public class Vector<E>extends AbstractList<E>implements List<E>, RandomAccess, Cloneable, java.io.Serializable"
Difference between arraylist and vector ?,"Both ArrayList and vector grows dynamically. The differences between arraylist and vector are :
1) Arraylist is not synchronized and vector is synchronized.
2) Vector is legacy collection introduced in 1.0 and Arraylist introduced in java 2.0.
Performance wise it is recommended to use arraylist rather than vector because by default vector is synchronized which reduces performance if only one thread accesses it."
Define Linked List and its features with signature ?,"Linked list is used for storing a collection of objects that allows efficient addition and removal of elements in the middle of the collection.
The main drawback with arrays is if we want to insert an element in the middle of the list we need to move each element to next position and insert the element. Similarly with remove if we want to remove an element we need to remove the element and move the list of elements.
But with linked list we can insert and delete in the middle of the list efficiently by just updating the neighbouring node reference.
Linked list class is in java.util package.
Linked List class extends class extends AbstractSequentialList and I mplements List, Deque, Cloneable and Serializable.


Important methods specific to LinkedList class :
1) public E getFirst() :
getFirst() will returns the first element in the list.

2) public E getLast() :
getLast() returns the last element in the list.

3) public E removeFirst() :
removeFirst() method removes the first element in the list.

4) public E removeLast() :

removeLast() method removes the last element in the list.

5) public void addFirst(E e)
Inserts the element at beginning of the list.

6) public void addLast(E e) :
Inserts the element at end of the list."
 Define Iterator and methods in Iterator?,"If we want to iterate through all the elements in collection we use Iterator. Iterator is a standard way to access elements one by one in collection. Iterator is an object associated with collection used to loop through the collection.
Steps for accessing elements in Iterator :
1) Obtain Iterator object by calling iterator() method on collection. Ex : ArrayList <String> al=new ArrayList<String>();
Iterator itr=al.iterator();
2) Call hasNext() method on iterator object in loop as long as hasNext() returns true. Ex : while(itr.hasNext())
{
}
3) Get each element by calling next() inside the loop. while(itr.hasNext())
{
String str=itr.next();
}
Methods in iterator :
Method
Description
boolean hasNext();
This method returns true if there is next element.hasNext() points to position before first lement.If there are any elements if will return true.
E next();
Returns the next element in the iteration. . If there are no elements in the
Iteration NoSuchElementException is thrown. next() will move the pointer to next position and returns the element.
void remove();
Removes the element.

Note : If we call next() on last element it will throw java.util.NoSuchElementException. So before calling next() first we should call hasNext() whether it has elements or not. If there is next element we can call next() so that we can avoid exception."
In which order the Iterator iterates over collection?,"The order in which Iterator will iterate the collection depends on the traversal order of collection.
For example : for list traversal order will be sequential, and for set the order cannot be determined, and for sorted sorted set will sort the elements in sorted order.
So it all depends on the collection in which order iterator iterates."
Explain ListIterator and methods in ListIterator?,"List Iterator is similar to Iterator but ListIterator is bidirectional.
We can traverse through the collection in either forward or backward direction.
List Iterator extends Iterator and all the methods in Iterator will be there in ListIterator too with some additional methods .
List Iterator doesn’t have current element .Position of List Iterator lies between two elements i.e previous element and next element.
Features of ListIterator :
1) Traversal of List in either direction.
2) Modification of its elements.
3) Access to elements position.

Signature :
public interface ListIterator<E> extends Iterator<E> {
}
ListIterator methods :

Void add(E obj)
Inserts element in to the list infront of the element returned by call to next() and after the element returned by call to next().
boolean hasNext();
Returns true if there are more elements in the list instead of throwing exception if there are no elements.



E next();
Returns the next element . NoSuchElementException is thrown if there is no next element.

boolean
Returns true if there are elements when iterating list in reverse direction.
hasPrevious();

E previous();
Returns the previous element in the list.
int nextIndex();
Returns the index of the element returned by next() method. If there are no elements it returns the size of the list.
int previousIndex();
Returns the index of the element returned by previous() method. If there are no
elements it returns the size of the list. Returns -1 if the iterator is at beginning of list.
void remove();
Removes the element that was returned by calling next() or previous(). An Illegal state Exception will be thrown if remove() is called before next() or previous().
void set(E e);
This method replaces an element in the list with the specified element."
Explain about Sets ?,"A set is a collection which does not allow duplicates. Set internally implements equals() method which doesn’t allow duplicates.Adding an duplicate element to a set would be ignored .Set interface is implemented in java.util.set package.Set interface does not have any additional methods . It has only collection methods. A set can contain atmost one null value.
ArrayList is an ordered collection.In arraylists order remains same in which they are inserted. But coming to set it is an unordered collection.
public interface Set<E> extends Collection<E> {
}
Important operations that can be performed on set :
1) Adding an element to set.
2) Removing an element from set.
3) Check if an element exist in set.
4) Iterating through set."
Implementations of Set interface ?,"1) HashSet
2) Linked HashSet
3) TreeSet"
Explain HashSet and its features ?,"Hashset implements set interface and extends AbstractSet. Features of Hashset are :
1) It does not allow duplicates.
2) It does not gurantee ordering of elements.
3) It is unsorted and unordered set.
4) Performance wise it is recommended to use hashset when compared to other sets because it internally uses hashing mechanism.
5) Allows insertion of nulls.
Note : For efficiency whenever objects are added to HashSet it need to implement the hashCode() method.

public class HashSet<E> extends AbstractSet<E> implements Set<E>, Cloneable, java.io.Serializable
{
}"
Explain Tree Set and its features?,"TreeSet implements navigableSet interface and extends Abstract set.It creates collection that uses tree for storage.
Features of Treeset are :
1) It does not allow duplicates.
2) When we retrieve the elements in treeset we will get elements in sorted order.

public class TreeSet<E> extends AbstractSet<E>
implements NavigableSet<E>, Cloneable, java.io.Serializable
{"
When do we use HashSet over TreeSet?,If we want to search for an element in collection and does not want any sorting order we go for HashSet.
When do we use TreeSet over HashSet? TreeSet is preferred,"1) if elements are to be maintained in sorting order.
2) Fast insertion and retrieval of elements."
What is Linked HashSet and its features? LinkedHashSet extends HashSet and implements Set interface. public class LinkedHashSet<E>,"extends HashSet<E>
implements Set<E>, Cloneable, java.io.Serializable {
}
Linked HashSet is similar to HashSet but in linked HashSet we maintain order but in HashSet we don’t maintain order. Maintaining order means elements will be retrieved in order which they are inserted."
Explain about Map interface in java?,"A map is an association of key-value pairs. Both keys and values in map are objects. Features of map :
Maps cannot have duplicate keys but can have duplicate value objects."
 What is linked hashmap and its features?,"LinkedHashMap extends HashMap and implements Map.lLinked hashmap gurantees order of elements . Elements are retrieved in same order they are inserted.Linked HashMap uses internally double linked lists to keep insertion order.
The differences between Hashmap and linked hashmap is
1) LinkedHashMap maintains the insertion order while HashMap doesnot maintain order.
2) HashMap if faster for insertion and deletion of elements when compared to linked hashmap. Linked hashmap is preferred only for faster iteration of elements.
public class LinkedHashMap<K,V> extends HashMap<K,V> implements Map<K,V>
{
}"
What is SortedMap interface?,"SortedMap extends Map interface.Sorted Map maintains sorted order of keys in a map.
By default sorted map maintains natural ordering if we want custom order we can specify using comparator.
public interface SortedMap<K,V> extends Map<K,V> {
}"
What is Hashtable and explain features of Hashtable?,"Hashtable was available before collection framework.
When collection framework was started Hashtable extends Dictionary class and Map interface. Hashtable offers a convenient way of storing key/ value pairs.
Hashtable does not allow nulls either keys or values. Hashtable is synchronized."
Difference between HashMap and Hashtable?,"HashMap is not synchronized.
Hashtable is synchronized.
HashMap allows atmost one null key and any number of null values.
Hashtable does not allow null values.
Since HashMap is not synchronized its performance is faster than Hashtable.
Performance is slower when compared to HashMap.
HashMap introduced starting from
Hashtable is even before collection"
 What is concurrent hashmap and its features ?,"Concurrent HashMap is implemented in java.util.concurrent package. Concurrent HashMap extends Abstract Map and implements concurrent Map. Concurrent HashMap is used in multi threaded environment.
]It is similar to Hashtable and synchronized version of hashmap but with minor differences. Concurrent HashMap does not allow null keys and values."
Difference between Concurrent HashMap and Hashtable and collections.synchronizedHashMap?,"Locking Mechansim :ConcurrentHashMap uses completely different hashing mechanism called lock striping which offers better concurrency and scalability.
The main advantage of this mechanism is better concurrency instead of synchronizing every method by using common lock which allows only one thread to access at a time, it allows better concurrency by allowing multiple threads to access.
ConcurrentModificationException :ConcurrentHashMap provides iterators which doesnot throw concurrent modification exception which allows only one thread to access iterator, while synchronized map may throw concurrent modification exception."
"Explain copyOnWriteArrayList and when do we use copyOnWriteArrayList? copyOnWriteArrayList is used in multithreaded environment. If we want to iterate over arraylist ,but the arraylist is updated by other threads to prevent concurrent modification exception we have two solutions :","1) First one is we need to synchronize the list manually by using collections.synchronized(list) and iterate over the list in synchronized block to avoid concurrent modification exception.
2) The second one is to use copyOnWriteArrayList which takes care of concurrency. The advantage of using copyOnWriteArrayList is no need to synchronize list explicitly. So when we use copyOnWriteArrayList when a thread modifies the list while the other thread was iterating it does not modify original list but creates a copy of list with modified contents so that the iterator won’t know the modifications made to original list."
